fare_id,price,currency_type,payment_method
return-kmzone1-Kalkbaai-Abbotsdale,20.0,R,0
monfri-week-kmzone1-Abbotsdale-Kalkbaai,60.0,R,0
monfri-week-kmzone1-Kalkbaai-Abbotsdale,60.0,R,0
monsat-week-kmzone1-Abbotsdale-Kalkbaai,75.0,R,0
monsat-week-kmzone1-Kalkbaai-Abbotsdale,75.0,R,0
month-kmzone1-Abbotsdale-Kalkbaai,180.0,R,0
month-kmzone1-Kalkbaai-Abbotsdale,180.0,R,0
single-kmzone1-Abbotsdale-Kapteinsklip,10.0,R,0
single-kmzone1-Kapteinsklip-Abbotsdale,10.0,R,0
return-kmzone1-Abbotsdale-Kapteinsklip,20.0,R,0
return-kmzone1-Kapteinsklip-Abbotsdale,20.0,R,0
monfri-week-kmzone1-Abbotsdale-Kapteinsklip,60.0,R,0
monfri-week-kmzone1-Kapteinsklip-Abbotsdale,60.0,R,0
monsat-week-kmzone1-Abbotsdale-Kapteinsklip,75.0,R,0
monsat-week-kmzone1-Kapteinsklip-Abbotsdale,75.0,R,0
month-kmzone1-Abbotsdale-Kapteinsklip,180.0,R,0
month-kmzone1-Kapteinsklip-Abbotsdale,180.0,R,0
single-kmzone1-Abbotsdale-Kenilworth,10.0,R,0
single-kmzone1-Kenilworth-Abbotsdale,10.0,R,0
return-kmzone1-Abbotsdale-Kenilworth,20.0,R,0
return-kmzone1-Kenilworth-Abbotsdale,20.0,R,0
monfri-week-kmzone1-Abbotsdale-Kenilworth,60.0,R,0
monfri-week-kmzone1-Kenilworth-Abbotsdale,60.0,R,0
monsat-week-kmzone1-Abbotsdale-Kenilworth,75.0,R,0
monsat-week-kmzone1-Kenilworth-Abbotsdale,75.0,R,0
month-kmzone1-Abbotsdale-Kenilworth,180.0,R,0
month-kmzone1-Kenilworth-Abbotsdale,180.0,R,0
single-kmzone1-Abbotsdale-Kentemade,10.0,R,0
single-kmzone1-Kentemade-Abbotsdale,10.0,R,0
return-kmzone1-Abbotsdale-Kentemade,20.0,R,0
return-kmzone1-Kentemade-Abbotsdale,20.0,R,0
monfri-week-kmzone1-Abbotsdale-Kentemade,60.0,R,0
monfri-week-kmzone1-Kentemade-Abbotsdale,60.0,R,0
monsat-week-kmzone1-Abbotsdale-Kentemade,75.0,R,0
monsat-week-kmzone1-Kentemade-Abbotsdale,75.0,R,0
month-kmzone1-Abbotsdale-Kentemade,180.0,R,0
month-kmzone1-Kentemade-Abbotsdale,180.0,R,0
single-kmzone1-Abbotsdale-Khayelitsha,10.0,R,0
single-kmzone1-Khayelitsha-Abbotsdale,10.0,R,0
return-kmzone1-Abbotsdale-Khayelitsha,20.0,R,0
return-kmzone1-Khayelitsha-Abbotsdale,20.0,R,0
monfri-week-kmzone1-Abbotsdale-Khayelitsha,60.0,R,0
monfri-week-kmzone1-Khayelitsha-Abbotsdale,60.0,R,0
monsat-week-kmzone1-Abbotsdale-Khayelitsha,75.0,R,0
monsat-week-kmzone1-Khayelitsha-Abbotsdale,75.0,R,0
month-kmzone1-Abbotsdale-Khayelitsha,180.0,R,0
month-kmzone1-Khayelitsha-Abbotsdale,180.0,R,0
single-kmzone4-Abbotsdale-Klapmuts,15.0,R,0
single-kmzone4-Klapmuts-Abbotsdale,15.0,R,0
return-kmzone4-Abbotsdale-Klapmuts,30.0,R,0
return-kmzone4-Klapmuts-Abbotsdale,30.0,R,0
monfri-week-kmzone4-Abbotsdale-Klapmuts,90.0,R,0
monfri-week-kmzone4-Klapmuts-Abbotsdale,90.0,R,0
monsat-week-kmzone4-Abbotsdale-Klapmuts,120.0,R,0
monsat-week-kmzone4-Klapmuts-Abbotsdale,120.0,R,0
month-kmzone4-Abbotsdale-Klapmuts,280.0,R,0
month-kmzone4-Klapmuts-Abbotsdale,280.0,R,0
single-kmzone3-Abbotsdale-Klipheuwel,14.0,R,0
single-kmzone3-Klipheuwel-Abbotsdale,14.0,R,0
return-kmzone3-Abbotsdale-Klipheuwel,28.0,R,0
return-kmzone3-Klipheuwel-Abbotsdale,28.0,R,0
monfri-week-kmzone3-Abbotsdale-Klipheuwel,80.0,R,0
monfri-week-kmzone3-Klipheuwel-Abbotsdale,80.0,R,0
monsat-week-kmzone3-Abbotsdale-Klipheuwel,100.0,R,0
monsat-week-kmzone3-Klipheuwel-Abbotsdale,100.0,R,0
month-kmzone3-Abbotsdale-Klipheuwel,250.0,R,0
month-kmzone3-Klipheuwel-Abbotsdale,250.0,R,0
single-kmzone1-Abbotsdale-Koebergweg,10.0,R,0
single-kmzone1-Koebergweg-Abbotsdale,10.0,R,0
return-kmzone1-Abbotsdale-Koebergweg,20.0,R,0
return-kmzone1-Koebergweg-Abbotsdale,20.0,R,0
