shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
nth_34_stellies_line_shape_back,-33.907535706,18.633968188,30
nth_34_stellies_line_shape_back,-33.911717128,18.650126894,29
nth_34_stellies_line_shape_back,-33.915577999,18.661772005,28
nth_34_stellies_line_shape_back,-33.917937608,18.665358941,27
nth_34_stellies_line_shape_back,-33.928628919,18.673793481,26
nth_34_stellies_line_shape_back,-33.940569404,18.683162207,25
nth_34_stellies_line_shape_back,-33.964485373,18.701305793,24
nth_34_stellies_line_shape_back,-33.978537505,18.712639338,23
nth_34_stellies_line_shape_back,-33.989362812,18.720344507,22
nth_34_stellies_line_shape_back,-33.999439847,18.729394511,21
nth_34_stellies_line_shape_back,-34.00115311,18.7318148,20
nth_34_stellies_line_shape_back,-34.002522952,18.734225154,19
nth_34_stellies_line_shape_back,-34.004622092,18.737457069,18
nth_34_stellies_line_shape_back,-34.006040125,18.742832218,17
nth_34_stellies_line_shape_back,-34.006057311,18.748305786,16
nth_34_stellies_line_shape_back,-34.005646873,18.751305698,15
nth_34_stellies_line_shape_back,-34.005652249,18.751044666,14
nth_34_stellies_line_shape_back,-34.002424434,18.756040455,13
nth_34_stellies_line_shape_back,-33.994734442,18.763172525,12
nth_34_stellies_line_shape_back,-33.985369103,18.767843598,11
nth_34_stellies_line_shape_back,-33.978667501,18.774322061,10
nth_34_stellies_line_shape_back,-33.967075713,18.789795524,9
nth_34_stellies_line_shape_back,-33.949893611,18.825121082,8
nth_34_stellies_line_shape_back,-33.941987816,18.845064647,7
nth_34_stellies_line_shape_back,-33.940333757,18.84847597,6
nth_34_stellies_line_shape_back,-33.93836306,18.850029735,5
nth_34_stellies_line_shape_back,-33.934002571,18.85239403,4
nth_34_stellies_line_shape_back,-33.931187889,18.853021164,3
nth_34_stellies_line_shape_back,-33.926408123,18.854163688,2
nth_34_stellies_line_shape_back,-33.923710106,18.854049732,1
cpflt_line_shape,-33.922932725,18.425826854,1
cpflt_line_shape,-33.924014936,18.427527491,2
cpflt_line_shape,-33.9251656,18.430565709,3
cpflt_line_shape,-33.925781218,18.436278238,4
cpflt_line_shape,-33.925631711,18.440648847,5
cpflt_line_shape,-33.925427743,18.443992155,6
cpflt_line_shape,-33.925424452,18.446193556,7
cpflt_line_shape,-33.925370137,18.447839725,8
cpflt_line_shape,-33.926174087,18.45460021,9
cpflt_line_shape,-33.926711503,18.458951291,10
cpflt_line_shape,-33.927009817,18.462050383,11
cpflt_line_shape,-33.92727063,18.464906959,12
cpflt_line_shape,-33.927339341,18.466000024,13
cpflt_line_shape,-33.927428568,18.467100556,14
cpflt_line_shape,-33.927254465,18.468355739,15
cpflt_line_shape,-33.926902856,18.469907448,16
cpflt_line_shape,-33.926145288,18.475921547,17
cpflt_line_shape,-33.925771912,18.478984304,18
cpflt_line_shape,-33.925581583,18.480081248,19
cpflt_line_shape,-33.924952671,18.48516724,20
cpflt_line_shape,-33.924822191,18.486686583,21
cpflt_line_shape,-33.924454332,18.489031623,22
cpflt_line_shape,-33.92374556,18.49207069,23
cpflt_line_shape,-33.923656434,18.493965072,24
cpflt_line_shape,-33.923983123,18.495109044,25
cpflt_line_shape,-33.924198277,18.495744722,26
cpflt_line_shape,-33.924822947,18.49641547,27
cpflt_line_shape,-33.925843547,18.496615651,28
cpflt_line_shape,-33.926546162,18.496311599,29
cpflt_line_shape,-33.928587318,18.495219467,30
cpflt_line_shape,-33.929283321,18.494690169,31
cpflt_line_shape,-33.93033594,18.494069949,32
cpflt_line_shape,-33.932162502,18.492981332,33
cpflt_line_shape,-33.934340781,18.491675298,34
cpflt_line_shape,-33.935521711,18.491057535,35
cpflt_line_shape,-33.936340198,18.490832984,36
cpflt_line_shape,-33.93782662,18.490569926,37
cpflt_line_shape,-33.939431392,18.490647531,38
cpflt_line_shape,-33.941770968,18.490903817,39
cpflt_line_shape,-33.942996685,18.491037998,40
cpflt_line_shape,-33.944433301,18.491420404,41
cpflt_line_shape,-33.944746091,18.491589283,42
cpflt_line_shape,-33.945654332,18.492393317,43
cpflt_line_shape,-33.946524667,18.493485705,44
cpflt_line_shape,-33.950059346,18.499007308,45
cpflt_line_shape,-33.951137133,18.500664941,46
cpflt_line_shape,-33.951943735,18.50163726,47
cpflt_line_shape,-33.953154667,18.502503845,48
cpflt_line_shape,-33.954082305,18.502780099,49
cpflt_line_shape,-33.955538893,18.502776998,50
cpflt_line_shape,-33.957584825,18.502278895,51
cpflt_line_shape,-33.958967942,18.50189239,52
cpflt_line_shape,-33.960978662,18.501801729,53
cpflt_line_shape,-33.963140313,18.501747537,54
cpflt_line_shape,-33.964998087,18.501644706,55
cpflt_line_shape,-33.967380699,18.501587945,56
cpflt_line_shape,-33.970604683,18.501544898,57
cpflt_line_shape,-33.973390725,18.501493919,58
cpflt_line_shape,-33.975933541,18.501373739,59
cpflt_line_shape,-33.977878464,18.501392331,60
cpflt_line_shape,-33.979617572,18.501287077,61
cpflt_line_shape,-33.980633408,18.501434371,62
cpflt_line_shape,-33.985860878,18.503308686,63
cpflt_line_shape,-33.98736654,18.503835717,64
cpflt_line_shape,-33.988075887,18.504065238,65
cpflt_line_shape,-33.988528622,18.504123777,66
cpflt_line_shape,-33.989023805,18.504182487,67
cpflt_line_shape,-33.990366668,18.50402467,68
cpflt_line_shape,-33.99321853,18.503469847,69
cpflt_line_shape,-33.995430322,18.503085782,70
cpflt_line_shape,-33.997864055,18.502637801,71
cpflt_line_shape,-33.998831118,18.502456027,72
cpflt_line_shape,-33.99980634,18.502204472,73
cpflt_line_shape,-34.000350089,18.501962437,74
cpflt_line_shape,-34.001764329,18.501284135,75
cpflt_line_shape,-34.003379988,18.500428105,76
cpflt_line_shape,-34.006210053,18.498979791,77
cpflt_line_shape,-34.007941105,18.498171853,78
cpflt_line_shape,-34.009937592,18.497128843,79
cpflt_line_shape,-34.012239694,18.495915734,80
cpflt_line_shape,-34.013501667,18.49521198,81
cpflt_line_shape,-34.016350942,18.49375587,82
cpflt_line_shape,-34.019382757,18.492144654,83
cpflt_line_shape,-34.022671134,18.490483945,84
cpflt_line_shape,-34.026193084,18.488643019,85
cpflt_line_shape,-34.02844669,18.487494016,86
cpflt_line_shape,-34.029958184,18.486680974,87
cpflt_line_shape,-34.030922651,18.486079195,88
cpflt_line_shape,-34.031356765,18.485500209,89
cpflt_line_shape,-34.031907074,18.484291558,90
cpflt_line_shape,-34.032702936,18.482262345,91
cpflt_line_shape,-34.033247718,18.48103808,92
cpflt_line_shape,-34.034542895,18.477687107,93
cpflt_line_shape,-34.036552453,18.472872209,94
cpflt_line_shape,-34.03782688,18.469587477,95
cpflt_line_shape,-34.038632522,18.467864652,96
cpflt_line_shape,-34.039379013,18.467003736,97
cpflt_line_shape,-34.040220534,18.466577841,98
cpflt_line_shape,-34.041073054,18.466411982,99
